SEASON YEAR,WEEK,NUMBER OF MOSQUITOES,WNV POS,WNV NEG
2007,21,40,0,40
2007,22,126,0,126
2007,23,85,0,85
2007,24,216,0,216
2007,25,240,0,240
2007,26,633,1,632
2007,27,1103,0,1103
2007,28,5237,5,5232
2007,29,5989,13,5976
2007,30,4003,8,3995
2007,31,6473,20,6453
2007,32,11131,60,11071
2007,33,6179,65,6114
2007,34,6226,34,6192
2007,35,4056,20,4036
2007,36,1193,5,1188
2007,37,2148,1,2147
2007,38,924,0,924
2007,39,1706,2,1704
2008,23,180,0,180
2008,24,222,0,222
2008,25,404,0,404
2008,26,452,0,452
2008,27,386,0,386
2008,28,941,1,940
2008,29,2635,0,2635
2008,30,1069,2,1067
2008,31,1901,3,1898
2008,32,2479,13,2466
2008,33,2729,12,2717
2008,34,3004,11,2993
2008,35,2994,20,2974
2008,36,2890,31,2859
2008,37,859,4,855
2008,38,337,1,336
2008,39,552,1,551
2009,20,190,0,190
2009,21,1011,0,1011
2009,22,257,0,257
2009,23,1549,0,1549
2009,24,2872,0,2872
2009,25,1701,0,1701
2009,26,719,0,719
2009,27,2365,0,2365
2009,28,1893,0,1893
2009,29,2697,4,2693
2009,30,1159,1,1158
2009,31,878,0,878
2009,32,602,2,600
2009,33,691,7,684
2009,34,175,0,175
2009,35,129,1,128
2009,36,563,3,560
2009,37,743,0,743
2009,38,702,1,701
2009,39,212,0,212
2010,22,76,0,76
2010,23,125,0,125
2010,24,678,0,678
2010,25,1721,1,1720
2010,26,1023,0,1023
2010,27,4325,1,4324
2010,28,2853,1,2852
2010,29,2425,6,2419
2010,30,1322,7,1315
2010,31,941,8,933
2010,32,1445,3,1442
2010,33,869,17,852
2010,34,1170,8,1162
2010,35,889,15,874
2010,36,936,5,931
2010,37,448,4,444
2010,38,501,0,501
2010,39,138,0,138
2011,20,9,0,9
2011,21,4,0,4
2011,22,128,0,128
2011,23,296,0,296
2011,24,822,0,822
2011,25,846,0,846
2011,26,1944,0,1944
2011,27,2091,0,2091
2011,28,2497,0,2497
2011,29,2449,3,2446
2011,30,1408,8,1400
2011,31,1065,5,1060
2011,32,824,11,813
2011,33,589,4,585
2011,34,490,4,486
2011,35,870,7,863
2011,36,734,6,728
2011,37,821,3,818
2011,38,728,6,722
2011,39,184,0,184
2012,23,233,0,233
2012,24,364,0,364
2012,25,604,0,604
2012,26,1482,3,1479
2012,27,5534,17,5517
2012,28,3412,27,3385
2012,29,6057,75,5982
2012,30,5016,113,4903
2012,31,4718,101,4617
2012,32,1889,33,1856
2012,33,1927,36,1891
2012,34,1028,12,1016
2012,35,893,4,889
2012,36,1028,5,1023
2012,37,983,9,974
2012,38,286,1,285
2012,39,567,1,566
2013,23,360,0,360
