SEASON YEAR,WEEK,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR
2007,21,40,0,40,0.0
2007,22,126,0,126,0.0
2007,23,85,0,85,0.0
2007,24,216,0,216,0.0
2007,25,240,0,240,0.0
2007,26,633,1,632,1.5797788309636651
2007,27,1103,0,1103,0.0
2007,28,5237,5,5232,0.9547450830628222
2007,29,5989,13,5976,2.1706461846718983
2007,30,4003,8,3995,1.9985011241568824
2007,31,6473,20,6453,3.0897574540398582
2007,32,11131,60,11071,5.390351271224508
2007,33,6179,65,6114,10.51950153746561
2007,34,6226,34,6192,5.460970125281079
2007,35,4056,20,4036,4.930966469428008
2007,36,1193,5,1188,4.191114836546522
2007,37,2148,1,2147,0.4655493482309125
2007,38,924,0,924,0.0
2007,39,1706,2,1704,1.1723329425556857
2008,23,180,0,180,0.0
2008,24,222,0,222,0.0
2008,25,404,0,404,0.0
2008,26,452,0,452,0.0
2008,27,386,0,386,0.0
2008,28,941,1,940,1.0626992561105206
2008,29,2635,0,2635,0.0
2008,30,1069,2,1067,1.8709073900841908
2008,31,1901,3,1898,1.5781167806417675
2008,32,2479,13,2466,5.244050020169423
2008,33,2729,12,2717,4.397215097105168
2008,34,3004,11,2993,3.6617842876165114
2008,35,2994,20,2974,6.680026720106881
2008,36,2890,31,2859,10.726643598615917
2008,37,859,4,855,4.656577415599534
2008,38,337,1,336,2.967359050445104
2008,39,552,1,551,1.8115942028985508
2009,20,190,0,190,0.0
2009,21,1011,0,1011,0.0
2009,22,257,0,257,0.0
2009,23,1549,0,1549,0.0
2009,24,2872,0,2872,0.0
2009,25,1701,0,1701,0.0
2009,26,719,0,719,0.0
2009,27,2365,0,2365,0.0
2009,28,1893,0,1893,0.0
2009,29,2697,4,2693,1.4831294030404152
2009,30,1159,1,1158,0.8628127696289906
2009,31,878,0,878,0.0
2009,32,602,2,600,3.3222591362126246
2009,33,691,7,684,10.130246020260492
2009,34,175,0,175,0.0
2009,35,129,1,128,7.751937984496124
2009,36,563,3,560,5.328596802841918
2009,37,743,0,743,0.0
2009,38,702,1,701,1.4245014245014245
2009,39,212,0,212,0.0
2010,22,76,0,76,0.0
2010,23,125,0,125,0.0
2010,24,678,0,678,0.0
2010,25,1721,1,1720,0.5810575246949448
2010,26,1023,0,1023,0.0
2010,27,4325,1,4324,0.23121387283236994
2010,28,2853,1,2852,0.3505082369435682
2010,29,2425,6,2419,2.474226804123711
2010,30,1322,7,1315,5.29500756429652
2010,31,941,8,933,8.501594048884165
2010,32,1445,3,1442,2.0761245674740487
2010,33,869,17,852,19.56271576524741
2010,34,1170,8,1162,6.837606837606837
2010,35,889,15,874,16.87289088863892
