SEASON YEAR,WEEK,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR
2017,23,550,0,550,0.0
2017,24,533,1,532,1.876172607879925
2017,25,251,1,250,3.98406374501992
2017,26,405,1,404,2.469135802469136
2017,27,434,0,434,0.0
2017,28,1424,13,1411,9.129213483146067
2017,29,1350,18,1332,13.333333333333334
2017,30,695,13,682,18.70503597122302
2017,31,1603,36,1567,22.45789145352464
2017,32,1052,20,1032,19.011406844106464
2017,33,1703,34,1669,19.96476805637111
2017,34,1098,23,1075,20.947176684881605
2017,35,759,7,752,9.22266139657444
2017,36,591,5,586,8.460236886632826
2017,37,570,1,569,1.7543859649122808
2017,38,379,2,377,5.277044854881266
2017,39,839,2,837,2.3837902264600714
2018,23,1127,2,1125,1.7746228926353151
2018,24,1350,1,1349,0.7407407407407407
2018,25,1362,3,1359,2.202643171806168
2018,26,2138,8,2130,3.7418147801683816
2018,27,752,3,749,3.9893617021276593
2018,28,1341,13,1328,9.694258016405668
2018,29,1250,17,1233,13.6
2018,30,1270,31,1239,24.40944881889764
2018,31,1405,27,1378,19.217081850533805
2018,32,1549,31,1518,20.01291155584248
2018,33,1518,43,1475,28.326745718050063
2018,34,460,18,442,39.130434782608695
2018,35,468,7,461,14.957264957264956
2018,36,539,3,536,5.565862708719852
2018,37,333,1,332,3.003003003003003
2018,38,739,4,735,5.412719891745603
2018,39,379,0,379,0.0
2019,23,1267,0,1267,0.0
2019,24,2565,0,2565,0.0
2019,25,1555,0,1555,0.0
2019,26,1515,0,1515,0.0
2019,27,625,1,624,1.6
2019,28,1385,0,1385,0.0
2019,29,805,1,804,1.2422360248447206
2019,30,878,0,878,0.0
2019,31,979,5,974,5.107252298263534
2019,32,1273,8,1265,6.284367635506678
2019,33,2061,20,2041,9.70402717127608
2019,34,2312,31,2281,13.408304498269898
2019,35,1586,32,1554,20.1765447667087
2019,36,859,15,844,17.462165308498253
2019,37,2555,28,2527,10.95890410958904
2019,38,1329,5,1324,3.762227238525207
2019,39,1172,5,1167,4.266211604095563
2020,24,848,0,848,0.0
2020,25,875,0,875,0.0
2020,26,686,0,686,0.0
2020,27,903,0,903,0.0
2020,28,1507,1,1506,0.6635700066357001
2020,29,1781,2,1779,1.1229646266142617
2020,30,1276,2,1274,1.567398119122257
2020,31,2476,13,2463,5.250403877221325
2020,32,1096,6,1090,5.474452554744526
2020,33,2270,18,2252,7.929515418502203
2020,34,2007,21,1986,10.46337817638266
2020,35,2571,21,2550,8.168028004667445
2020,36,1366,13,1353,9.51683748169839
2020,37,202,0,202,0.0
2020,38,476,5,471,10.504201680672267
2020,39,361,0,361,0.0
2020,40,139,0,139,0.0
2021,22,39,0,39,0.0
2021,23,1740,0,1740,0.0
2021,24,1528,0,1528,0.0
2021,25,226,0,226,0.0
2021,26,443,0,443,0.0
2021,27,2431,4,2427,1.6454134101192923
2021,28,3520,4,3516,1.1363636363636362
2021,29,2867,8,2859,2.790373212417161
2021,30,1983,12,1971,6.051437216338881
2021,31,2739,22,2717,8.032128514056224
2021,32,3045,43,3002,14.121510673234813
2021,33,2655,42,2613,15.819209039548022
2021,34,1241,24,1217,19.339242546333605
2021,35,802,8,794,9.975062344139651
2021,36,183,1,182,5.46448087431694
2021,37,1637,12,1625,7.330482590103848
2021,38,1133,4,1129,3.53045013239188
2021,39,800,4,796,5.0
2022,23,395,0,395,0.0
2022,24,2289,1,2288,0.436871996505024
2022,25,367,0,367,0.0
2022,26,378,1,377,2.6455026455026456
2022,27,105,1,104,9.523809523809526
2022,28,463,2,461,4.319654427645789
2022,29,545,2,543,3.669724770642202
2022,30,403,1,402,2.481389578163772
2022,31,1387,14,1373,10.093727469358328
2022,32,757,17,740,22.457067371202115
2022,33,820,9,811,10.97560975609756
2022,34,741,8,733,10.79622132253711
2022,35,956,14,942,14.644351464435148
2022,36,987,9,978,9.11854103343465
2022,37,361,1,360,2.770083102493075
2022,38,273,0,273,0.0
2022,39,39,0,39,0.0
2022,40,127,0,127,0.0
