SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR
2007,21,T002,2,0,2,0.0
2007,21,T007,1,0,1,0.0
2007,21,T015,5,0,5,0.0
2007,21,T045,2,0,2,0.0
2007,21,T046,1,0,1,0.0
2007,21,T048,3,0,3,0.0
2007,21,T049,1,0,1,0.0
2007,21,T050,1,0,1,0.0
2007,21,T054,5,0,5,0.0
2007,21,T086,1,0,1,0.0
2007,21,T087,1,0,1,0.0
2007,21,T091,1,0,1,0.0
2007,21,T094,3,0,3,0.0
2007,21,T096,6,0,6,0.0
2007,21,T129,3,0,3,0.0
2007,21,T143,1,0,1,0.0
2007,21,T148,1,0,1,0.0
2007,21,T153,1,0,1,0.0
2007,21,T159,1,0,1,0.0
2007,22,T002,9,0,9,0.0
2007,22,T009,2,0,2,0.0
2007,22,T011,1,0,1,0.0
2007,22,T015,3,0,3,0.0
2007,22,T016,1,0,1,0.0
2007,22,T019,1,0,1,0.0
2007,22,T025,1,0,1,0.0
2007,22,T028,2,0,2,0.0
2007,22,T033,3,0,3,0.0
2007,22,T045,4,0,4,0.0
2007,22,T046,1,0,1,0.0
2007,22,T048,4,0,4,0.0
2007,22,T049,2,0,2,0.0
2007,22,T050,2,0,2,0.0
2007,22,T054,3,0,3,0.0
2007,22,T087,4,0,4,0.0
2007,22,T089,1,0,1,0.0
2007,22,T090,8,0,8,0.0
2007,22,T092,1,0,1,0.0
2007,22,T094,2,0,2,0.0
2007,22,T096,3,0,3,0.0
2007,22,T135,7,0,7,0.0
2007,22,T141,3,0,3,0.0
2007,22,T142,4,0,4,0.0
2007,22,T143,11,0,11,0.0
2007,22,T145,3,0,3,0.0
2007,22,T146,3,0,3,0.0
2007,22,T147,1,0,1,0.0
2007,22,T149,1,0,1,0.0
2007,22,T150,2,0,2,0.0
2007,22,T151,11,0,11,0.0
2007,22,T152,1,0,1,0.0
2007,22,T153,3,0,3,0.0
2007,22,T154,1,0,1,0.0
2007,22,T158,11,0,11,0.0
2007,22,T159,1,0,1,0.0
2007,22,T162,1,0,1,0.0
2007,22,T218,3,0,3,0.0
2007,22,T220,1,0,1,0.0
2007,23,T002,2,0,2,0.0
2007,23,T006,1,0,1,0.0
2007,23,T012,1,0,1,0.0
2007,23,T013,1,0,1,0.0
2007,23,T014,1,0,1,0.0
2007,23,T015,3,0,3,0.0
2007,23,T016,2,0,2,0.0
2007,23,T018,1,0,1,0.0
2007,23,T028,3,0,3,0.0
2007,23,T030,2,0,2,0.0
2007,23,T043,5,0,5,0.0
2007,23,T046,2,0,2,0.0
2007,23,T054,3,0,3,0.0
2007,23,T084,2,0,2,0.0
2007,23,T085,2,0,2,0.0
2007,23,T086,1,0,1,0.0
2007,23,T087,2,0,2,0.0
2007,23,T089,2,0,2,0.0
2007,23,T090,10,0,10,0.0
2007,23,T091,1,0,1,0.0
2007,23,T096,1,0,1,0.0
2007,23,T135,3,0,3,0.0
2007,23,T141,1,0,1,0.0
2007,23,T142,1,0,1,0.0
2007,23,T143,3,0,3,0.0
2007,23,T144,1,0,1,0.0
2007,23,T145,1,0,1,0.0
2007,23,T146,2,0,2,0.0
2007,23,T148,4,0,4,0.0
2007,23,T150,1,0,1,0.0
2007,23,T151,6,0,6,0.0
2007,23,T153,1,0,1,0.0
2007,23,T158,6,0,6,0.0
2007,23,T160,1,0,1,0.0
2007,23,T167,1,0,1,0.0
2007,23,T218,5,0,5,0.0
2007,24,T001,1,0,1,0.0
2007,24,T002,6,0,6,0.0
2007,24,T003,2,0,2,0.0
2007,24,T006,2,0,2,0.0
2007,24,T007,5,0,5,0.0
