SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION
2017,25,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,26,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,28,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,29,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,32,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,37,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,23,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,24,T002,20,0,20,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,26,T002,22,0,22,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,28,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,29,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,30,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,31,T002,7,0,7,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,32,T002,25,0,25,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,33,T002,50,0,50,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,34,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,35,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,37,T002,5,0,5,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2018,38,T002,7,0,7,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,23,T002,62,0,62,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,24,T002,116,0,116,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,25,T002,129,0,129,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,26,T002,23,0,23,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,28,T002,37,0,37,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,29,T002,74,0,74,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,30,T002,40,0,40,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,31,T002,10,0,10,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,32,T002,34,0,34,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,33,T002,24,0,24,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,34,T002,76,2,74,26.31578947368421,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,35,T002,36,1,35,27.77777777777778,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,37,T002,89,1,88,11.235955056179776,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,38,T002,39,1,38,25.64102564102564,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2019,39,T002,36,0,36,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,24,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,25,T002,19,0,19,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,26,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,27,T002,14,0,14,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,28,T002,13,0,13,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,29,T002,170,0,170,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,30,T002,45,1,44,22.22222222222222,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,31,T002,169,0,169,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,32,T002,10,0,10,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,33,T002,9,0,9,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,34,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,35,T002,11,1,10,90.9090909090909,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,36,T002,68,1,67,14.705882352941176,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2020,38,T002,32,0,32,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,23,T002,31,0,31,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,24,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,26,T002,14,0,14,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,27,T002,47,0,47,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,29,T002,15,0,15,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,30,T002,7,0,7,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,31,T002,80,0,80,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,32,T002,12,0,12,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,33,T002,239,4,235,16.736401673640167,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,34,T002,37,1,36,27.027027027027028,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,35,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,36,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,38,T002,14,0,14,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2021,39,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,23,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,24,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,26,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,27,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,29,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,30,T002,5,0,5,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,31,T002,9,0,9,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,32,T002,18,1,17,55.55555555555556,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,33,T002,5,0,5,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,34,T002,17,1,16,58.8235294117647,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,36,T002,16,0,16,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
